trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,102.10523490002379,None,105.10508090001531,None,space,0.602675799978897,105.10508090001531,None,2,105.7383053000085,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,106.73826260003261,None,space,0.48143720004009083,106.73826260003261,None,2,107.23831700003939,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,109.23815640003886,None,space,0.34158090001437813,109.23815640003886,None,1,109.60476030001882,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,110.60472300002584,None,space,0.48698960000183433,110.60472300002584,None,3,111.12226480001118,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,113.13799540000036,None,space,0.40165289997821674,113.13799540000036,None,2,113.57129330001771,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,3,114.5712363999919,114.5712363999919,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,116.57128070003819,None,119.57126759999665,None,space,0.48035309999249876,119.57126759999665,None,2,120.07104090001667,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,124.0708033000119,None,space,0.3807486000005156,124.0708033000119,None,2,124.4708651000401,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,126.47079799999483,None,space,0.29284259997075424,126.47079799999483,None,3,126.78809190000175,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,129.78797930001747,None,space,0.30361400003312156,129.78797930001747,None,2,130.12123600003542,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,131.12123550003162,None,space,0.46627640002407134,131.12123550003162,None,4,131.60389410000062,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,2,133.6037573000067,133.6037573000067,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,135.6037244000472,None,138.60360420000507,None,space,0.5039362999959849,138.60360420000507,None,2,139.13686160004,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,142.1367184999981,None,space,0.5307785000186414,142.1367184999981,None,2,142.68749660003232,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,146.68724250001833,None,space,0.41214339999714866,146.68724250001833,None,4,147.12066370004322,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,151.12041219999082,None,space,0.46707100002095103,151.12041219999082,None,4,151.60309510002844,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,154.60293520003324,None,space,0.3524621000397019,154.60293520003324,None,3,154.98693700000877,None,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,2,155.9868332000333,155.9868332000333,001,,2022_Jan_19_1614,FingTap,2021.2.3,20.005161331332985,
